image_name,x1,y1,x2,y2,category,file_name,storm_name,year,month,day,hour,International number ID,Name of the storm,Time of analysis,Grade,Latitude of the center,Longitude of the center,Central pressure,Maximum sustained wind speed,Direction of the longest radius of 50kt winds or greater,The longest radius of 50kt winds or greater,The shortest radius of 50kt winds or greater,Direction of the longest radius of 30kt winds or greater,The longest radius of 30kt winds or greater,The shortest radius of 30kt winds or greater,Indicator of landfall or passage,hurricane_center_x,hurricane_center_y,_parsed_time,split_group
2015205N.LINFA.2015.07.07.0600.HIMARAWI-8-9.ir_resize.png,329,149,392,212,Tropical Storm (TS),2015205N.LINFA.2015.07.07.0600.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,7,600,1510,LINFA,2015-07-07 06:00:00,Tropical Storm (TS),20.5,118.9,985,45.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,Southeast (SE),180.0,150.0, ,360.5,180.5,,train
2015208N.LINFA.2015.07.07.1200.HIMARAWI-8-9.ir_resize.png,327,146,389,208,Tropical Storm (TS),2015208N.LINFA.2015.07.07.1200.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,7,1200,1510,LINFA,2015-07-07 12:00:00,Tropical Storm (TS),20.8,118.7,985,45.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,Southeast (SE),150.0,120.0, ,358.0,177.0,,train
2015211N.LINFA.2015.07.07.1800.HIMARAWI-8-9.ir_resize.png,327,142,389,204,Tropical Storm (TS),2015211N.LINFA.2015.07.07.1800.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,7,1800,1510,LINFA,2015-07-07 18:00:00,Tropical Storm (TS),21.1,118.7,985,45.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),120.0,120.0, ,358.0,173.0,,train
2015215N.LINFA.2015.07.08.0000.HIMARAWI-8-9.ir_resize.png,327,137,389,199,Severe Tropical Storm (STS),2015215N.LINFA.2015.07.08.0000.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,8,0,1510,LINFA,2015-07-08 00:00:00,Severe Tropical Storm (STS),21.5,118.7,980,50.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),120.0,120.0, ,358.0,168.0,2015-07-08,train
2015218N.LINFA.2015.07.08.0600.HIMARAWI-8-9.ir_resize.png,327,133,389,196,Severe Tropical Storm (STS),2015218N.LINFA.2015.07.08.0600.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,8,600,1510,LINFA,2015-07-08 06:00:00,Severe Tropical Storm (STS),21.8,118.7,980,50.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),120.0,120.0, ,358.0,164.5,,train
2015222N.LINFA.2015.07.08.1200.HIMARAWI-8-9.ir_resize.png,323,128,386,191,Severe Tropical Storm (STS),2015222N.LINFA.2015.07.08.1200.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,8,1200,1510,LINFA,2015-07-08 12:00:00,Severe Tropical Storm (STS),22.2,118.4,980,50.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),120.0,120.0, ,354.5,159.5,,train
2015225N.LINFA.2015.07.08.1800.HIMARAWI-8-9.ir_resize.png,314,124,377,187,Severe Tropical Storm (STS),2015225N.LINFA.2015.07.08.1800.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,8,1800,1510,LINFA,2015-07-08 18:00:00,Severe Tropical Storm (STS),22.5,117.7,980,50.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),120.0,120.0, ,345.5,155.5,,train
2015227N.LINFA.2015.07.09.0000.HIMARAWI-8-9.ir_resize.png,304,122,367,184,Severe Tropical Storm (STS),2015227N.LINFA.2015.07.09.0000.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,9,0,1510,LINFA,2015-07-09 00:00:00,Severe Tropical Storm (STS),22.7,116.9,980,50.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),120.0,120.0, ,335.5,153.0,2015-07-09,train
2015229N.LINFA.2015.07.09.0600.HIMARAWI-8-9.ir_resize.png,288,119,351,182,Severe Tropical Storm (STS),2015229N.LINFA.2015.07.09.0600.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,9,600,1510,LINFA,2015-07-09 06:00:00,Severe Tropical Storm (STS),22.9,115.6,985,50.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),90.0,90.0, ,319.5,150.5,,train
2015229N.LINFA.2015.07.09.1200.HIMARAWI-8-9.ir_resize.png,273,119,336,182,Tropical Storm (TS),2015229N.LINFA.2015.07.09.1200.HIMARAWI-8-9.ir_resize.png,LINFA,2015,7,9,1200,1510,LINFA,2015-07-09 12:00:00,Tropical Storm (TS),22.9,114.4,992,45.0,No direction (Longest radius of 50kt winds is 0),0.0,0.0,(symmetric circle),60.0,60.0, ,304.5,150.5,,train
